date,student_id,status
2026-01-25,s-SCIS-1-0,Present
2026-01-25,s-SCIS-1-1,Present
2026-01-25,s-SCIS-1-2,Present
2026-01-25,s-SCIS-1-3,Present
2026-01-25,s-SCIS-1-4,Present
2026-01-25,s-SCIS-1-5,Absent
2026-01-25,s-SCIS-1-6,Absent
2026-01-25,s-SCIS-1-7,Present
2026-01-25,s-SCIS-1-8,Absent
2026-01-25,s-SCIS-1-9,Present
2026-01-25,s-SCIS-1-10,Present
2026-01-25,s-SCIS-1-11,Present
2026-01-25,s-SCIS-1-12,Present
2026-01-25,s-SCIS-1-13,Present
2026-01-25,s-SCIS-1-14,Present
2026-01-25,s-SCIS-1-15,Present
2026-01-25,s-SCIS-1-16,Present
2026-01-25,s-SCIS-1-17,Absent
2026-01-24,s-SCIS-1-0,Present
2026-01-24,s-SCIS-1-1,Present
2026-01-24,s-SCIS-1-2,Present
2026-01-24,s-SCIS-1-3,Present
2026-01-24,s-SCIS-1-4,Absent
2026-01-24,s-SCIS-1-5,Present
2026-01-24,s-SCIS-1-6,Present
2026-01-24,s-SCIS-1-7,Present
2026-01-24,s-SCIS-1-8,Present
2026-01-24,s-SCIS-1-9,Absent
2026-01-24,s-SCIS-1-10,Present
2026-01-24,s-SCIS-1-11,Present
2026-01-24,s-SCIS-1-12,Present
2026-01-24,s-SCIS-1-13,Present
2026-01-24,s-SCIS-1-14,Present
2026-01-24,s-SCIS-1-15,Present
2026-01-24,s-SCIS-1-16,Present
2026-01-24,s-SCIS-1-17,Present
2026-01-23,s-SCIS-1-0,Absent
2026-01-23,s-SCIS-1-1,Present
2026-01-23,s-SCIS-1-2,Present
2026-01-23,s-SCIS-1-3,Present
2026-01-23,s-SCIS-1-4,Present
2026-01-23,s-SCIS-1-5,Absent
2026-01-23,s-SCIS-1-6,Absent
2026-01-23,s-SCIS-1-7,Present
2026-01-23,s-SCIS-1-8,Present
2026-01-23,s-SCIS-1-9,Present
2026-01-23,s-SCIS-1-10,Present
2026-01-23,s-SCIS-1-11,Present
2026-01-23,s-SCIS-1-12,Present
2026-01-23,s-SCIS-1-13,Present
2026-01-23,s-SCIS-1-14,Present
2026-01-23,s-SCIS-1-15,Present
2026-01-23,s-SCIS-1-16,Present
2026-01-23,s-SCIS-1-17,Present
2026-01-22,s-SCIS-1-0,Present
2026-01-22,s-SCIS-1-1,Present
2026-01-22,s-SCIS-1-2,Absent
2026-01-22,s-SCIS-1-3,Present
2026-01-22,s-SCIS-1-4,Present
2026-01-22,s-SCIS-1-5,Present
2026-01-22,s-SCIS-1-6,Absent
2026-01-22,s-SCIS-1-7,Present
2026-01-22,s-SCIS-1-8,Absent
2026-01-22,s-SCIS-1-9,Present
2026-01-22,s-SCIS-1-10,Present
2026-01-22,s-SCIS-1-11,Present
2026-01-22,s-SCIS-1-12,Absent
2026-01-22,s-SCIS-1-13,Absent
2026-01-22,s-SCIS-1-14,Present
2026-01-22,s-SCIS-1-15,Present
2026-01-22,s-SCIS-1-16,Present
2026-01-22,s-SCIS-1-17,Absent
2026-01-21,s-SCIS-1-0,Present
2026-01-21,s-SCIS-1-1,Present
2026-01-21,s-SCIS-1-2,Present
2026-01-21,s-SCIS-1-3,Present
2026-01-21,s-SCIS-1-4,Present
2026-01-21,s-SCIS-1-5,Present
2026-01-21,s-SCIS-1-6,Absent
2026-01-21,s-SCIS-1-7,Absent
2026-01-21,s-SCIS-1-8,Absent
2026-01-21,s-SCIS-1-9,Absent
2026-01-21,s-SCIS-1-10,Present
2026-01-21,s-SCIS-1-11,Present
2026-01-21,s-SCIS-1-12,Present
2026-01-21,s-SCIS-1-13,Present
2026-01-21,s-SCIS-1-14,Present
2026-01-21,s-SCIS-1-15,Present
2026-01-21,s-SCIS-1-16,Absent
2026-01-21,s-SCIS-1-17,Present
2026-01-20,s-SCIS-1-0,Present
2026-01-20,s-SCIS-1-1,Present
2026-01-20,s-SCIS-1-2,Present
2026-01-20,s-SCIS-1-3,Present
2026-01-20,s-SCIS-1-4,Present
2026-01-20,s-SCIS-1-5,Absent
2026-01-20,s-SCIS-1-6,Present
2026-01-20,s-SCIS-1-7,Present
2026-01-20,s-SCIS-1-8,Present
2026-01-20,s-SCIS-1-9,Present
2026-01-20,s-SCIS-1-10,Present
2026-01-20,s-SCIS-1-11,Present
2026-01-20,s-SCIS-1-12,Present
2026-01-20,s-SCIS-1-13,Absent
2026-01-20,s-SCIS-1-14,Present
2026-01-20,s-SCIS-1-15,Present
2026-01-20,s-SCIS-1-16,Present
2026-01-20,s-SCIS-1-17,Present
2026-01-19,s-SCIS-1-0,Present
2026-01-19,s-SCIS-1-1,Absent
2026-01-19,s-SCIS-1-2,Present
2026-01-19,s-SCIS-1-3,Present
2026-01-19,s-SCIS-1-4,Present
2026-01-19,s-SCIS-1-5,Present
2026-01-19,s-SCIS-1-6,Present
2026-01-19,s-SCIS-1-7,Present
2026-01-19,s-SCIS-1-8,Absent
2026-01-19,s-SCIS-1-9,Absent
2026-01-19,s-SCIS-1-10,Present
2026-01-19,s-SCIS-1-11,Present
2026-01-19,s-SCIS-1-12,Present
2026-01-19,s-SCIS-1-13,Present
2026-01-19,s-SCIS-1-14,Absent
2026-01-19,s-SCIS-1-15,Present
2026-01-19,s-SCIS-1-16,Present
2026-01-19,s-SCIS-1-17,Present
