date,student_id,status
2026-01-25,s-SMS-1-0,Present
2026-01-25,s-SMS-1-1,Present
2026-01-25,s-SMS-1-2,Absent
2026-01-25,s-SMS-1-3,Absent
2026-01-25,s-SMS-1-4,Present
2026-01-25,s-SMS-1-5,Absent
2026-01-25,s-SMS-1-6,Present
2026-01-25,s-SMS-1-7,Absent
2026-01-25,s-SMS-1-8,Present
2026-01-25,s-SMS-1-9,Absent
2026-01-25,s-SMS-1-10,Absent
2026-01-25,s-SMS-1-11,Present
2026-01-25,s-SMS-1-12,Absent
2026-01-25,s-SMS-1-13,Present
2026-01-25,s-SMS-1-14,Present
2026-01-25,s-SMS-1-15,Present
2026-01-25,s-SMS-1-16,Present
2026-01-25,s-SMS-1-17,Present
2026-01-25,s-SMS-1-18,Present
2026-01-25,s-SMS-1-19,Present
2026-01-25,s-SMS-1-20,Absent
2026-01-25,s-SMS-1-21,Present
2026-01-25,s-SMS-1-22,Present
2026-01-25,s-SMS-1-23,Absent
2026-01-25,s-SMS-1-24,Absent
2026-01-25,s-SMS-1-25,Present
2026-01-24,s-SMS-1-0,Present
2026-01-24,s-SMS-1-1,Present
2026-01-24,s-SMS-1-2,Absent
2026-01-24,s-SMS-1-3,Absent
2026-01-24,s-SMS-1-4,Present
2026-01-24,s-SMS-1-5,Present
2026-01-24,s-SMS-1-6,Present
2026-01-24,s-SMS-1-7,Absent
2026-01-24,s-SMS-1-8,Present
2026-01-24,s-SMS-1-9,Present
2026-01-24,s-SMS-1-10,Present
2026-01-24,s-SMS-1-11,Present
2026-01-24,s-SMS-1-12,Absent
2026-01-24,s-SMS-1-13,Present
2026-01-24,s-SMS-1-14,Present
2026-01-24,s-SMS-1-15,Present
2026-01-24,s-SMS-1-16,Present
2026-01-24,s-SMS-1-17,Present
2026-01-24,s-SMS-1-18,Present
2026-01-24,s-SMS-1-19,Present
2026-01-24,s-SMS-1-20,Absent
2026-01-24,s-SMS-1-21,Present
2026-01-24,s-SMS-1-22,Present
2026-01-24,s-SMS-1-23,Present
2026-01-24,s-SMS-1-24,Present
2026-01-24,s-SMS-1-25,Present
2026-01-23,s-SMS-1-0,Present
2026-01-23,s-SMS-1-1,Present
2026-01-23,s-SMS-1-2,Present
2026-01-23,s-SMS-1-3,Present
2026-01-23,s-SMS-1-4,Present
2026-01-23,s-SMS-1-5,Absent
2026-01-23,s-SMS-1-6,Present
2026-01-23,s-SMS-1-7,Present
2026-01-23,s-SMS-1-8,Present
2026-01-23,s-SMS-1-9,Present
2026-01-23,s-SMS-1-10,Present
2026-01-23,s-SMS-1-11,Present
2026-01-23,s-SMS-1-12,Present
2026-01-23,s-SMS-1-13,Present
2026-01-23,s-SMS-1-14,Present
2026-01-23,s-SMS-1-15,Present
2026-01-23,s-SMS-1-16,Present
2026-01-23,s-SMS-1-17,Present
2026-01-23,s-SMS-1-18,Absent
2026-01-23,s-SMS-1-19,Absent
2026-01-23,s-SMS-1-20,Present
2026-01-23,s-SMS-1-21,Present
2026-01-23,s-SMS-1-22,Present
2026-01-23,s-SMS-1-23,Present
2026-01-23,s-SMS-1-24,Present
2026-01-23,s-SMS-1-25,Absent
2026-01-22,s-SMS-1-0,Absent
2026-01-22,s-SMS-1-1,Present
2026-01-22,s-SMS-1-2,Absent
2026-01-22,s-SMS-1-3,Present
2026-01-22,s-SMS-1-4,Present
2026-01-22,s-SMS-1-5,Present
2026-01-22,s-SMS-1-6,Present
2026-01-22,s-SMS-1-7,Present
2026-01-22,s-SMS-1-8,Absent
2026-01-22,s-SMS-1-9,Present
2026-01-22,s-SMS-1-10,Present
2026-01-22,s-SMS-1-11,Present
2026-01-22,s-SMS-1-12,Present
2026-01-22,s-SMS-1-13,Absent
2026-01-22,s-SMS-1-14,Present
2026-01-22,s-SMS-1-15,Absent
2026-01-22,s-SMS-1-16,Present
2026-01-22,s-SMS-1-17,Present
2026-01-22,s-SMS-1-18,Present
2026-01-22,s-SMS-1-19,Absent
2026-01-22,s-SMS-1-20,Present
2026-01-22,s-SMS-1-21,Present
2026-01-22,s-SMS-1-22,Absent
2026-01-22,s-SMS-1-23,Present
2026-01-22,s-SMS-1-24,Present
2026-01-22,s-SMS-1-25,Present
2026-01-21,s-SMS-1-0,Present
2026-01-21,s-SMS-1-1,Present
2026-01-21,s-SMS-1-2,Absent
2026-01-21,s-SMS-1-3,Present
2026-01-21,s-SMS-1-4,Present
2026-01-21,s-SMS-1-5,Absent
2026-01-21,s-SMS-1-6,Present
2026-01-21,s-SMS-1-7,Present
2026-01-21,s-SMS-1-8,Present
2026-01-21,s-SMS-1-9,Absent
2026-01-21,s-SMS-1-10,Absent
2026-01-21,s-SMS-1-11,Present
2026-01-21,s-SMS-1-12,Absent
2026-01-21,s-SMS-1-13,Present
2026-01-21,s-SMS-1-14,Present
2026-01-21,s-SMS-1-15,Present
2026-01-21,s-SMS-1-16,Present
2026-01-21,s-SMS-1-17,Present
2026-01-21,s-SMS-1-18,Present
2026-01-21,s-SMS-1-19,Present
2026-01-21,s-SMS-1-20,Present
2026-01-21,s-SMS-1-21,Present
2026-01-21,s-SMS-1-22,Present
2026-01-21,s-SMS-1-23,Present
2026-01-21,s-SMS-1-24,Present
2026-01-21,s-SMS-1-25,Present
2026-01-20,s-SMS-1-0,Present
2026-01-20,s-SMS-1-1,Present
2026-01-20,s-SMS-1-2,Present
2026-01-20,s-SMS-1-3,Absent
2026-01-20,s-SMS-1-4,Present
2026-01-20,s-SMS-1-5,Present
2026-01-20,s-SMS-1-6,Present
2026-01-20,s-SMS-1-7,Present
2026-01-20,s-SMS-1-8,Present
2026-01-20,s-SMS-1-9,Present
2026-01-20,s-SMS-1-10,Absent
2026-01-20,s-SMS-1-11,Present
2026-01-20,s-SMS-1-12,Absent
2026-01-20,s-SMS-1-13,Present
2026-01-20,s-SMS-1-14,Present
2026-01-20,s-SMS-1-15,Absent
2026-01-20,s-SMS-1-16,Absent
2026-01-20,s-SMS-1-17,Present
2026-01-20,s-SMS-1-18,Present
2026-01-20,s-SMS-1-19,Present
2026-01-20,s-SMS-1-20,Absent
2026-01-20,s-SMS-1-21,Present
2026-01-20,s-SMS-1-22,Present
2026-01-20,s-SMS-1-23,Present
2026-01-20,s-SMS-1-24,Absent
2026-01-20,s-SMS-1-25,Present
2026-01-19,s-SMS-1-0,Present
2026-01-19,s-SMS-1-1,Present
2026-01-19,s-SMS-1-2,Present
2026-01-19,s-SMS-1-3,Present
2026-01-19,s-SMS-1-4,Present
2026-01-19,s-SMS-1-5,Present
2026-01-19,s-SMS-1-6,Present
2026-01-19,s-SMS-1-7,Absent
2026-01-19,s-SMS-1-8,Present
2026-01-19,s-SMS-1-9,Present
2026-01-19,s-SMS-1-10,Present
2026-01-19,s-SMS-1-11,Absent
2026-01-19,s-SMS-1-12,Present
2026-01-19,s-SMS-1-13,Absent
2026-01-19,s-SMS-1-14,Present
2026-01-19,s-SMS-1-15,Present
2026-01-19,s-SMS-1-16,Present
2026-01-19,s-SMS-1-17,Present
2026-01-19,s-SMS-1-18,Present
2026-01-19,s-SMS-1-19,Present
2026-01-19,s-SMS-1-20,Present
2026-01-19,s-SMS-1-21,Present
2026-01-19,s-SMS-1-22,Absent
2026-01-19,s-SMS-1-23,Present
2026-01-19,s-SMS-1-24,Absent
2026-01-19,s-SMS-1-25,Present
