date,student_id,status
2026-01-25,s-SoP-1-0,Present
2026-01-25,s-SoP-1-1,Present
2026-01-25,s-SoP-1-2,Present
2026-01-25,s-SoP-1-3,Present
2026-01-25,s-SoP-1-4,Present
2026-01-25,s-SoP-1-5,Absent
2026-01-25,s-SoP-1-6,Absent
2026-01-25,s-SoP-1-7,Absent
2026-01-25,s-SoP-1-8,Present
2026-01-25,s-SoP-1-9,Present
2026-01-25,s-SoP-1-10,Present
2026-01-25,s-SoP-1-11,Present
2026-01-25,s-SoP-1-12,Present
2026-01-25,s-SoP-1-13,Present
2026-01-25,s-SoP-1-14,Present
2026-01-25,s-SoP-1-15,Present
2026-01-24,s-SoP-1-0,Absent
2026-01-24,s-SoP-1-1,Present
2026-01-24,s-SoP-1-2,Present
2026-01-24,s-SoP-1-3,Present
2026-01-24,s-SoP-1-4,Present
2026-01-24,s-SoP-1-5,Present
2026-01-24,s-SoP-1-6,Present
2026-01-24,s-SoP-1-7,Present
2026-01-24,s-SoP-1-8,Present
2026-01-24,s-SoP-1-9,Present
2026-01-24,s-SoP-1-10,Present
2026-01-24,s-SoP-1-11,Absent
2026-01-24,s-SoP-1-12,Present
2026-01-24,s-SoP-1-13,Absent
2026-01-24,s-SoP-1-14,Present
2026-01-24,s-SoP-1-15,Present
2026-01-23,s-SoP-1-0,Present
2026-01-23,s-SoP-1-1,Absent
2026-01-23,s-SoP-1-2,Present
2026-01-23,s-SoP-1-3,Present
2026-01-23,s-SoP-1-4,Absent
2026-01-23,s-SoP-1-5,Present
2026-01-23,s-SoP-1-6,Present
2026-01-23,s-SoP-1-7,Present
2026-01-23,s-SoP-1-8,Present
2026-01-23,s-SoP-1-9,Present
2026-01-23,s-SoP-1-10,Present
2026-01-23,s-SoP-1-11,Absent
2026-01-23,s-SoP-1-12,Present
2026-01-23,s-SoP-1-13,Present
2026-01-23,s-SoP-1-14,Present
2026-01-23,s-SoP-1-15,Present
2026-01-22,s-SoP-1-0,Present
2026-01-22,s-SoP-1-1,Present
2026-01-22,s-SoP-1-2,Present
2026-01-22,s-SoP-1-3,Present
2026-01-22,s-SoP-1-4,Present
2026-01-22,s-SoP-1-5,Absent
2026-01-22,s-SoP-1-6,Present
2026-01-22,s-SoP-1-7,Present
2026-01-22,s-SoP-1-8,Present
2026-01-22,s-SoP-1-9,Present
2026-01-22,s-SoP-1-10,Present
2026-01-22,s-SoP-1-11,Present
2026-01-22,s-SoP-1-12,Present
2026-01-22,s-SoP-1-13,Present
2026-01-22,s-SoP-1-14,Absent
2026-01-22,s-SoP-1-15,Present
2026-01-21,s-SoP-1-0,Present
2026-01-21,s-SoP-1-1,Present
2026-01-21,s-SoP-1-2,Absent
2026-01-21,s-SoP-1-3,Present
2026-01-21,s-SoP-1-4,Present
2026-01-21,s-SoP-1-5,Present
2026-01-21,s-SoP-1-6,Absent
2026-01-21,s-SoP-1-7,Present
2026-01-21,s-SoP-1-8,Present
2026-01-21,s-SoP-1-9,Absent
2026-01-21,s-SoP-1-10,Present
2026-01-21,s-SoP-1-11,Present
2026-01-21,s-SoP-1-12,Present
2026-01-21,s-SoP-1-13,Present
2026-01-21,s-SoP-1-14,Present
2026-01-21,s-SoP-1-15,Present
2026-01-20,s-SoP-1-0,Absent
2026-01-20,s-SoP-1-1,Present
2026-01-20,s-SoP-1-2,Present
2026-01-20,s-SoP-1-3,Present
2026-01-20,s-SoP-1-4,Present
2026-01-20,s-SoP-1-5,Present
2026-01-20,s-SoP-1-6,Present
2026-01-20,s-SoP-1-7,Absent
2026-01-20,s-SoP-1-8,Present
2026-01-20,s-SoP-1-9,Present
2026-01-20,s-SoP-1-10,Present
2026-01-20,s-SoP-1-11,Present
2026-01-20,s-SoP-1-12,Absent
2026-01-20,s-SoP-1-13,Absent
2026-01-20,s-SoP-1-14,Present
2026-01-20,s-SoP-1-15,Present
2026-01-19,s-SoP-1-0,Present
2026-01-19,s-SoP-1-1,Present
2026-01-19,s-SoP-1-2,Present
2026-01-19,s-SoP-1-3,Present
2026-01-19,s-SoP-1-4,Present
2026-01-19,s-SoP-1-5,Absent
2026-01-19,s-SoP-1-6,Present
2026-01-19,s-SoP-1-7,Present
2026-01-19,s-SoP-1-8,Absent
2026-01-19,s-SoP-1-9,Present
2026-01-19,s-SoP-1-10,Present
2026-01-19,s-SoP-1-11,Present
2026-01-19,s-SoP-1-12,Present
2026-01-19,s-SoP-1-13,Absent
2026-01-19,s-SoP-1-14,Present
2026-01-19,s-SoP-1-15,Present
